Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Domain-specific language for event-based compliance monitoring in process-driven SOAs","Service Oriented Computing and Applications","","7","1","10.1007/s11761-012-0121-3","Emmanuel MuloUwe ZdunSchahram Dustdar","2013","http://link.springer.com/article/10.1007/s11761-012-0121-3","Article"
"Unified domain-specific language for collecting and processing data of social media","Journal of Intelligent Information Systems","","51","2","10.1007/s10844-018-0508-5","Nikolay ButakovMaxim PetrovKsenia MukhinaDenis NasonovSergey Kovalchuk","2018","http://link.springer.com/article/10.1007/s10844-018-0508-5","Article"
"NG-meta-profiler: fast processing of metagenomes using NGLess, a domain-specific language","Microbiome","","7","1","10.1186/s40168-019-0684-8","Luis Pedro CoelhoRenato AlvesPaulo MonteiroJaime Huerta-CepasAna Teresa FreitasPeer Bork","2019","http://link.springer.com/article/10.1186/s40168-019-0684-8","Article"
"Variability Support in Domain-Specific Language Development","Software Language Engineering","","","","10.1007/978-3-319-02654-1_5","Edoardo VacchiWalter CazzolaSuresh PillayBenoît Combemale","2013","http://link.springer.com/chapter/10.1007/978-3-319-02654-1_5","Chapter"
"Finch: Domain Specific Language and Code Generation for Finite Element and Finite Volume in Julia","Computational Science – ICCS 2022","","","","10.1007/978-3-031-08751-6_9","Eric HeislerAadesh DeshmukhHari Sundar","2022","http://link.springer.com/chapter/10.1007/978-3-031-08751-6_9","Chapter"
"Dynamic Symbolic Computation for Domain-Specific Language Implementation","Logic-Based Program Synthesis and Transformation","","","","10.1007/978-3-642-32211-2_2","Fritz Henglein","2012","http://link.springer.com/chapter/10.1007/978-3-642-32211-2_2","Chapter"
"AocML: A Domain-Specific Language for Model-Driven Development of Activity-Oriented Context-Aware Applications","Journal of Computer Science and Technology","","33","5","10.1007/s11390-018-1865-9","Xuan-Song LiXian-Ping TaoWei SongKai Dong","2018","http://link.springer.com/article/10.1007/s11390-018-1865-9","Article"
"Implementation of a BIM Domain-specific Language for the Building Environment Rule and Analysis","Journal of Intelligent & Robotic Systems","","79","3 - 4","10.1007/s10846-014-0117-7","Jin-Kook LeeCharles M. EastmanYong Cheol Lee","2015","http://link.springer.com/article/10.1007/s10846-014-0117-7","Article"
"Domain-Specific Language Techniques for Visual Computing: A Comprehensive Study","Archives of Computational Methods in Engineering","","28","4","10.1007/s11831-020-09492-4","Liming ShenXueyi ChenRichen LiuHailong WangGenlin Ji","2021","http://link.springer.com/article/10.1007/s11831-020-09492-4","Article"
"A Domain-Specific Language for Software-Defined Radio","Practical Aspects of Declarative Languages","","","","10.1007/978-3-319-51676-9_12","Geoffrey Mainland","2017","http://link.springer.com/chapter/10.1007/978-3-319-51676-9_12","Chapter"
"A Domain-Specific Language for Generic Interlocking Models and Their Properties","Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification","","","","10.1007/978-3-319-68499-4_7","Linh H. VuAnne E. HaxthausenJan Peleska","2017","http://link.springer.com/chapter/10.1007/978-3-319-68499-4_7","Chapter"
"A Domain Specific Language Approach for Genetic Regulatory Mechanisms Analysis","Transactions on Petri Nets and Other Models of Concurrency VI","","","","10.1007/978-3-642-35179-2_6","Nicolas SedlmajerDidier BuchsSteve HostettlerAlban LinardEdmundo López BóbedaAlexis Marechal","2012","http://link.springer.com/chapter/10.1007/978-3-642-35179-2_6","Chapter"
